t,   y,   u
61978.000000,   0.264542,   -0.023193,   0.045801
62312.000000,   0.264542,   -0.019531,   0.040565
62629.000000,   0.273010,   -0.023193,   0.036851
62894.000000,   0.277741,   -0.023193,   0.033250
63178.000000,   0.274536,   -0.026855,   0.029954
63492.000000,   0.269882,   -0.030518,   0.027347
63780.000000,   0.234940,   -0.037842,   0.025010
64072.000000,   0.265152,   -0.026855,   0.023173
64333.000000,   0.246613,   -0.030518,   0.021137
64650.000000,   0.232956,   -0.012207,   0.019343
64991.000000,   0.220139,   -0.030518,   0.018067
65251.000000,   0.250961,   -0.023193,   0.016819
65540.000000,   0.257828,   -0.019531,   0.015638
65842.000000,   0.267822,   -0.026855,   0.014530
66156.000000,   0.253479,   -0.030518,   0.013743
66418.000000,   0.270874,   -0.019531,   0.012861
66734.000000,   0.230667,   -0.026855,   0.012168
67020.000000,   0.210068,   -0.034180,   0.011500
67314.000000,   0.190155,   -0.026855,   0.010798
67627.000000,   0.245392,   -0.015869,   0.009699
68228.000000,   0.212128,   -0.026855,   0.009250
68510.000000,   0.194885,   -0.015869,   0.008396
69110.000000,   0.213501,   -0.030518,   0.008011
69392.000000,   0.240814,   -0.015869,   0.007691
69653.000000,   0.204270,   -0.026855,   0.007334
69992.000000,   0.201981,   -0.034180,   0.007062
70253.000000,   0.208466,   -0.026855,   0.006727
70571.000000,   0.198013,   -0.026855,   0.006275
71170.000000,   0.186722,   -0.026855,   0.005976
71485.000000,   0.197785,   -0.015869,   0.005796
71752.000000,   0.236466,   -0.023193,   0.005601
72093.000000,   0.222656,   -0.023193,   0.005384
72353.000000,   0.179016,   -0.023193,   0.005216
72670.000000,   0.214646,   -0.023193,   0.004868
73248.000000,   0.226318,   -0.023193,   0.004709
73589.000000,   0.193741,   -0.030518,   0.004578
73852.000000,   0.173294,   -0.026855,   0.004417
74139.000000,   0.209839,   -0.015869,   0.004294
74417.000000,   0.199692,   -0.023193,   0.004136
74733.000000,   0.230896,   -0.023193,   0.004059
75022.000000,   0.204270,   -0.019531,   0.003901
75332.000000,   0.230896,   -0.019531,   0.003806
75618.000000,   0.209076,   -0.026855,   0.003715
75872.000000,   0.184967,   -0.026855,   0.003629
76156.000000,   0.222885,   -0.030518,   0.003498
76473.000000,   0.169861,   -0.034180,   0.003452
76760.000000,   0.221741,   -0.012207,   0.003330
77050.000000,   0.228607,   -0.012207,   0.003177
77630.000000,   0.182678,   -0.023193,   0.003058
77919.000000,   0.197785,   -0.023193,   0.003010
78234.000000,   0.232575,   -0.026855,   0.002924
78548.000000,   0.197251,   -0.015869,   0.002823
78864.000000,   0.196030,   -0.019531,   0.002805
79134.000000,   0.215180,   -0.030518,   0.002720
79448.000000,   0.201447,   -0.026855,   0.002616
79764.000000,   0.171539,   59.923096,   0.002503
80050.000000,   0.164902,   59.930420,   0.023218
80339.000000,   0.196640,   59.930420,   0.040302
80600.000000,   0.218994,   59.919434,   0.055952
80914.000000,   0.219376,   59.937744,   0.067463
