sys1_polBas_0002.rec ( 621 Echant/voies ) Période acquisition :100ms
Date :7/7/2023 12:35:40 PM
Temps	y[V]	
13300.000000	1.7354e-004	
13400.000000	1.7592e-004	
13500.000000	1.6313e-004	
13600.000000	1.7026e-004	
13700.000000	1.7728e-004	
13800.000000	1.6898e-004	
13900.000000	1.7015e-004	
14000.000000	1.7943e-004	
14100.000000	1.7026e-004	
14200.000000	1.7049e-004	
14300.000000	1.8286e-004	
14400.000000	1.7724e-004	
14500.000000	1.6962e-004	
14600.000000	1.8151e-004	
14700.000000	1.7354e-004	
14800.000000	1.6539e-004	
14900.000000	1.7558e-004	
15000.000000	1.7818e-004	
15100.000000	1.6384e-004	
15200.000000	1.7116e-004	
15300.000000	1.7732e-004	
15400.000000	1.6524e-004	
15500.000000	1.6924e-004	
15600.000000	1.7611e-004	
15700.000000	1.7532e-004	
15800.000000	1.7241e-004	
15900.000000	1.8128e-004	
16000.000000	1.7573e-004	
16100.000000	1.6365e-004	
16200.000000	1.7196e-004	
16300.000000	1.7535e-004	
16400.000000	1.6792e-004	
16500.000000	1.7003e-004	
16600.000000	1.8475e-004	
16700.000000	1.7618e-004	
16800.000000	1.6935e-004	
16900.000000	1.7418e-004	
17000.000000	1.7600e-004	
17100.000000	1.6452e-004	
17200.000000	1.7199e-004	
17300.000000	1.8181e-004	
17400.000000	1.7505e-004	
17500.000000	1.6520e-004	
17600.000000	1.7849e-004	
17700.000000	1.7430e-004	
17800.000000	1.6830e-004	
17900.000000	1.6784e-004	
18000.000000	1.8328e-004	
18100.000000	1.7332e-004	
18200.000000	1.6539e-004	
18300.000000	1.7279e-004	
18400.000000	1.7667e-004	
18500.000000	1.6539e-004	
18600.000000	1.7075e-004	
18700.000000	1.8045e-004	
18800.000000	1.7207e-004	
18900.000000	1.6697e-004	
19000.000000	1.7524e-004	
19100.000000	1.6728e-004	
19200.000000	1.7094e-004	
19300.000000	1.7279e-004	
19400.000000	1.7573e-004	
19500.000000	1.7433e-004	
19600.000000	1.7060e-004	
19700.000000	1.7082e-004	
19800.000000	1.7396e-004	
