sys1_polBas_0003.rec ( 1332 Echant/voies ) Période acquisition :100ms
Date :7/7/2023 12:36:46 PM
Temps	y[V]	
8200.000000	1.5928e-004	
8300.000000	1.6603e-004	
8400.000000	1.9215e-004	
8500.000000	1.6981e-004	
8600.000000	1.6573e-004	
8700.000000	1.9147e-004	
8800.000000	1.6931e-004	
8900.000000	1.5482e-004	
9000.000000	1.8283e-004	
9100.000000	1.6882e-004	
9200.000000	1.4361e-004	
9300.000000	1.7433e-004	
9400.000000	1.7815e-004	
9500.000000	1.4693e-004	
9600.000000	1.7720e-004	
9700.000000	1.8758e-004	
9800.000000	1.5395e-004	
9900.000000	1.6735e-004	
10000.000000	1.8566e-004	
10100.000000	1.6396e-004	
10200.000000	1.5882e-004	
10300.000000	1.8992e-004	
10400.000000	1.6973e-004	
10500.000000	1.5037e-004	
10600.000000	1.7815e-004	
10700.000000	1.8294e-004	
10800.000000	1.5184e-004	
10900.000000	1.6977e-004	
11000.000000	1.8905e-004	
11100.000000	1.5531e-004	
11200.000000	1.5497e-004	
11300.000000	1.8543e-004	
11400.000000	1.8166e-004	
11500.000000	1.5716e-004	
11600.000000	1.6599e-004	
11700.000000	1.8985e-004	
11800.000000	1.6962e-004	
11900.000000	1.5158e-004	
12000.000000	1.7177e-004	
12100.000000	1.9139e-004	
12200.000000	1.6433e-004	
12300.000000	1.5309e-004	
12400.000000	1.7603e-004	
12500.000000	1.8887e-004	
12600.000000	1.5724e-004	
12700.000000	1.5131e-004	
12800.000000	1.8630e-004	
12900.000000	1.8098e-004	
13000.000000	1.5109e-004	
13100.000000	1.7181e-004	
13200.000000	1.8622e-004	
13300.000000	1.6728e-004	
13400.000000	1.5010e-004	
13500.000000	1.7815e-004	
13600.000000	1.7690e-004	
13700.000000	1.5531e-004	
13800.000000	1.6037e-004	
13900.000000	1.8403e-004	
14000.000000	1.6999e-004	
14100.000000	1.4701e-004	
14200.000000	1.6814e-004	
14300.000000	1.8309e-004	
14400.000000	1.6377e-004	
14500.000000	1.5282e-004	
14600.000000	1.6822e-004	
14700.000000	1.8743e-004	
14800.000000	1.6758e-004	
14900.000000	1.5482e-004	
15000.000000	1.7132e-004	
15100.000000	1.8430e-004	
15200.000000	1.6788e-004	
15300.000000	1.5312e-004	
15400.000000	1.5682e-004	
15500.000000	1.7856e-004	
15600.000000	1.7573e-004	
15700.000000	1.5120e-004	
15800.000000	1.6131e-004	
15900.000000	1.8283e-004	
16000.000000	1.8668e-004	
16100.000000	1.6792e-004	
16200.000000	1.5754e-004	
16300.000000	1.8166e-004	
16400.000000	1.8687e-004	
16500.000000	1.7403e-004	
16600.000000	1.5539e-004	
16700.000000	1.7313e-004	
16800.000000	1.9105e-004	
16900.000000	1.8517e-004	
17000.000000	1.6445e-004	
17100.000000	1.6373e-004	
17200.000000	1.8045e-004	
17300.000000	1.8615e-004	
17400.000000	1.6690e-004	
17500.000000	1.5165e-004	
17600.000000	1.5361e-004	
17700.000000	1.7577e-004	
17800.000000	1.8215e-004	
17900.000000	1.6890e-004	
18000.000000	1.4429e-004	
18100.000000	1.3350e-004	
18200.000000	1.5154e-004	
18300.000000	1.7596e-004	
18400.000000	1.8151e-004	
18500.000000	1.6996e-004	
18600.000000	1.4916e-004	
18700.000000	1.4803e-004	
18800.000000	1.6569e-004	
18900.000000	1.8705e-004	
19000.000000	1.8532e-004	
19100.000000	1.7113e-004	
19200.000000	1.5626e-004	
19300.000000	1.5373e-004	
19400.000000	1.5761e-004	
19500.000000	1.7954e-004	
19600.000000	1.8302e-004	
19700.000000	1.6713e-004	
19800.000000	1.4739e-004	
19900.000000	1.4656e-004	
20000.000000	1.6607e-004	
20100.000000	1.8222e-004	
20200.000000	1.8932e-004	
20300.000000	1.7562e-004	
20400.000000	1.5652e-004	
20500.000000	1.5724e-004	
20600.000000	1.7267e-004	
20700.000000	1.9053e-004	
20800.000000	1.8788e-004	
20900.000000	1.7350e-004	
21000.000000	1.5784e-004	
21100.000000	1.5173e-004	
21200.000000	1.4920e-004	
21300.000000	1.6290e-004	
21400.000000	1.6886e-004	
21500.000000	1.8336e-004	
21600.000000	1.8362e-004	
21700.000000	1.7071e-004	
21800.000000	1.5463e-004	
21900.000000	1.5309e-004	
