t,   y,   u
127145.000000,   0.000657,   59.934082,   0.025928
127620.000000,   0.000712,   59.941406,   0.026007
127904.000000,   0.000708,   59.934082,   0.026050
128354.000000,   0.000686,   59.930420,   0.026198
128730.000000,   0.000730,   59.946289,   0.026239
129307.000000,   0.000698,   59.937744,   0.026353
129753.000000,   0.000715,   59.930420,   0.026417
130432.000000,   0.000724,   59.934082,   0.026478
130839.000000,   0.000735,   59.930420,   0.026501
131137.000000,   0.000758,   59.941406,   0.026433
131575.000000,   0.000759,   59.941406,   0.026417
131803.000000,   0.000791,   59.934082,   0.026399
132342.000000,   0.000807,   59.937744,   0.026451
132972.000000,   0.000810,   59.934082,   0.026489
133265.000000,   0.000745,   59.937744,   0.026523
133671.000000,   0.000769,   59.934082,   0.026558
133753.000000,   0.000822,   59.946289,   0.026581
134391.000000,   0.000826,   59.946289,   0.026599
134755.000000,   0.000824,   59.930420,   0.026630
135044.000000,   0.000778,   59.937744,   0.026687
135484.000000,   0.000834,   59.937744,   0.026683
135881.000000,   0.000785,   59.946289,   0.026748
136176.000000,   0.000848,   59.941406,   0.026740
136616.000000,   0.000813,   59.946289,   0.026801
136903.000000,   0.000811,   59.941406,   0.026812
137282.000000,   0.000866,   59.937744,   0.026820
137438.000000,   0.000846,   59.941406,   0.026865
137829.000000,   0.000823,   59.934082,   0.026923
138500.000000,   0.000826,   59.937744,   0.026790
138963.000000,   0.000887,   59.937744,   0.026740
139199.000000,   0.000870,   59.926758,   0.026740
139635.000000,   0.000826,   59.930420,   0.026763
139925.000000,   0.000840,   59.930420,   0.026782
140336.000000,   0.000833,   59.934082,   0.026766
140726.000000,   0.000911,   59.937744,   0.026786
141130.000000,   0.000922,   59.930420,   0.026801
141470.000000,   0.000857,   59.946289,   0.026808
141742.000000,   0.000891,   59.930420,   0.026835
142154.000000,   0.000927,   59.934082,   0.026849
142816.000000,   0.000925,   59.937744,   0.026873
143142.000000,   0.000869,   59.930420,   0.026918
143456.000000,   0.000950,   59.934082,   0.026903
143592.000000,   0.000939,   59.937744,   0.026937
143834.000000,   0.000918,   59.941406,   0.026941
144008.000000,   0.000950,   59.941406,   0.026941
144654.000000,   0.000904,   59.937744,   0.026990
145069.000000,   0.000948,   59.930420,   0.026968
145304.000000,   0.000898,   59.941406,   0.027013
145446.000000,   0.000895,   59.934082,   0.027002
146041.000000,   0.000967,   59.937744,   0.027054
146380.000000,   0.000985,   59.949951,   0.027051
146471.000000,   0.000961,   59.930420,   0.027058
146740.000000,   0.000932,   59.930420,   0.027096
147054.000000,   0.000932,   59.937744,   0.027108
147191.000000,   0.000918,   59.937744,   0.027104
147534.000000,   0.000928,   59.937744,   0.027119
148164.000000,   0.000982,   59.934082,   0.027161
