t,   y,   u
52648.000000,   0.045120,   39.954834,   0.049872
52968.000000,   -0.006149,   39.954834,   0.051627
53288.000000,   0.040543,   39.951172,   0.052830
53549.000000,   0.058319,   39.958496,   0.054160
53888.000000,   0.005524,   39.954834,   0.055286
54207.000000,   0.044739,   39.958496,   0.056214
54524.000000,   0.055649,   39.947510,   0.056901
54788.000000,   0.048401,   39.947510,   0.057642
55107.000000,   0.031693,   39.951172,   0.058344
55446.000000,   0.044739,   39.958496,   0.058805
55700.000000,   0.071900,   39.962158,   0.059254
55990.000000,   0.040314,   39.958496,   0.059620
56243.000000,   0.036499,   39.951172,   0.060044
56534.000000,   0.088532,   39.958496,   0.060389
56824.000000,   0.039398,   39.954834,   0.060764
57145.000000,   0.076706,   39.954834,   0.061008
57408.000000,   0.079376,   39.962158,   0.061289
57710.000000,   0.090439,   39.947510,   0.061515
57962.000000,   0.039551,   39.954834,   0.061786
58250.000000,   0.099289,   39.958496,   0.061967
58528.000000,   0.096161,   39.947510,   0.062125
58785.000000,   0.086243,   39.958496,   0.062284
59041.000000,   0.069382,   39.954834,   0.062446
59330.000000,   0.089676,   39.954834,   0.062604
59582.000000,   0.066330,   39.954834,   0.062791
59870.000000,   0.098908,   39.954834,   0.062894
60120.000000,   0.071900,   39.958496,   0.063044
60410.000000,   0.094864,   39.958496,   0.063157
60666.000000,   0.123779,   39.965820,   0.063270
60994.000000,   0.130646,   39.962158,   0.063392
61279.000000,   0.103485,   39.951172,   0.063541
61568.000000,   0.120880,   39.962158,   0.063663
61886.000000,   0.126450,   39.962158,   0.063740
62147.000000,   0.114166,   39.947510,   0.063813
62468.000000,   0.135071,   39.943848,   0.063965
62784.000000,   0.083954,   39.951172,   0.064066
63074.000000,   0.117066,   39.962158,   0.064124
63387.000000,   0.149796,   39.951172,   0.064210
63708.000000,   0.118744,   39.958496,   0.064310
64022.000000,   0.120651,   39.951172,   0.064359
64502.000000,   0.108597,   39.947510,   0.064527
64842.000000,   0.147659,   39.951172,   0.064527
65129.000000,   0.093872,   39.958496,   0.064631
65383.000000,   0.147507,   39.951172,   0.064658
65669.000000,   0.121796,   39.958496,   0.064734
65950.000000,   0.112640,   39.954834,   0.064771
66203.000000,   0.134842,   39.947510,   0.064808
66496.000000,   0.143463,   39.954834,   0.064875
66786.000000,   0.129273,   39.947510,   0.064930
67078.000000,   0.128128,   39.958496,   0.064960
67344.000000,   0.120117,   39.947510,   0.065024
67629.000000,   0.104019,   39.954834,   0.065079
67884.000000,   0.118363,   39.951172,   0.065101
68157.000000,   0.123551,   39.958496,   0.065156
68487.000000,   0.157196,   39.962158,   0.065183
68750.000000,   0.120270,   39.958496,   0.065259
69068.000000,   0.133850,   39.954834,   0.065278
69385.000000,   0.131561,   39.958496,   0.065305
69674.000000,   0.139649,   39.962158,   0.065354
69991.000000,   0.132706,   -0.026855,   0.061252
70246.000000,   0.178635,   -0.019531,   0.050388
70578.000000,   0.146897,   -0.026855,   0.042197
70896.000000,   0.166962,   -0.026855,   0.035227
71238.000000,   0.153610,   -0.023193,   0.030979
71502.000000,   0.155518,   -0.015869,   0.026670
71822.000000,   0.191071,   -0.023193,   0.023698
72086.000000,   0.193741,   -0.023193,   0.020743
72403.000000,   0.183441,   -0.019531,   0.018247
72725.000000,   0.154144,   -0.026855,   0.016407
73016.000000,   0.194885,   -0.019531,   0.014850
73300.000000,   0.132706,   -0.019531,   0.013630
73564.000000,   0.133316,   -0.019531,   0.012205
73905.000000,   0.198395,   -0.023193,   0.011088
74222.000000,   0.134461,   -0.015869,   0.010300
74494.000000,   0.129273,   -0.015869,   0.009482
74808.000000,   0.178864,   -0.012207,   0.008863
75060.000000,   0.179627,   -0.023193,   0.008188
75380.000000,   0.181687,   -0.023193,   0.007682
75642.000000,   0.178635,   -0.015869,   0.007148
75960.000000,   0.183975,   -0.023193,   0.006678
76300.000000,   0.185578,   -0.019531,   0.006351
76588.000000,   0.178635,   -0.015869,   0.005967
76850.000000,   0.158722,   -0.015869,   0.005656
77169.000000,   0.135223,   -0.030518,   0.005393
77480.000000,   0.170014,   -0.019531,   0.005085
77765.000000,   0.179245,   -0.015869,   0.004832
78084.000000,   0.170777,   -0.019531,   0.004615
78373.000000,   0.141327,   -0.015869,   0.004426
78658.000000,   0.131409,   -0.023193,   0.004249
78974.000000,   0.164673,   -0.030518,   0.004041
79263.000000,   0.141937,   -0.019531,   0.003873
