ti,   y,   u
22036.000000,   28.945770,   49.790039
22112.000000,   29.357758,   49.785461
22212.000000,   29.113312,   49.777832
22311.000000,   28.518677,   49.774780
22412.000000,   28.731537,   49.785461
22520.000000,   28.899078,   49.777832
22635.000000,   29.143524,   49.785461
22712.000000,   28.548889,   49.785461
22813.000000,   29.220428,   49.785461
22911.000000,   28.808441,   49.777832
23029.000000,   29.463501,   49.785461
23112.000000,   28.793335,   49.790039
23212.000000,   28.960876,   49.782410
23327.000000,   29.907074,   49.785461
23412.000000,   29.083099,   49.777832
23511.000000,   29.113312,   49.785461
23656.000000,   29.433289,   49.777832
23706.000000,   29.479980,   49.777832
23812.000000,   29.173737,   49.785461
23912.000000,   29.220428,   49.785461
24012.000000,   29.784851,   49.770203
24112.000000,   29.387970,   49.782410
24232.000000,   29.372864,   49.790039
24306.000000,   30.029297,   49.774780
24412.000000,   29.205322,   49.790039
24512.000000,   29.158630,   49.790039
24612.000000,   29.907074,   49.785461
24706.000000,   29.220428,   49.777832
24812.000000,   29.250641,   49.790039
24906.000000,   30.119934,   49.785461
25012.000000,   29.647522,   49.777832
25106.000000,   29.433289,   49.782410
25212.000000,   30.196838,   49.785461
25315.000000,   29.372864,   49.793091
25433.000000,   29.205322,   49.785461
25511.000000,   30.044403,   49.777832
25612.000000,   30.104828,   49.782410
25722.000000,   29.173737,   49.782410
25825.000000,   30.044403,   49.782410
25908.000000,   29.540405,   49.785461
26013.000000,   29.600830,   49.793091
26106.000000,   29.830170,   49.785461
26242.000000,   29.707947,   49.785461
26306.000000,   29.922180,   49.777832
26423.000000,   30.303955,   49.782410
26537.000000,   29.342651,   49.785461
26613.000000,   30.089722,   49.777832
26712.000000,   30.257263,   49.777832
26811.000000,   29.540405,   49.790039
26911.000000,   30.044403,   49.774780
27027.000000,   30.227051,   49.782410
27112.000000,   29.555511,   49.785461
27211.000000,   30.303955,   49.777832
27306.000000,   29.922180,   49.785461
27415.000000,   30.135040,   49.782410
27534.000000,   30.227051,   49.782410
27612.000000,   29.525299,   49.777832
27718.000000,   29.982605,   49.782410
27812.000000,   30.501709,   49.785461
27911.000000,   30.456390,   49.785461
28013.000000,   30.562134,   49.774780
28132.000000,   30.456390,   49.777832
28212.000000,   31.111450,   49.777832
28311.000000,   29.815063,   49.777832
28412.000000,   29.907074,   49.782410
28506.000000,   30.669250,   49.777832
28613.000000,   30.974121,   49.782410
28736.000000,   29.815063,   49.785461
28813.000000,   30.166626,   49.782410
28912.000000,   31.127930,   49.785461
29012.000000,   30.319061,   49.774780
29112.000000,   30.227051,   49.790039
29213.000000,   29.815063,   49.782410
29330.000000,   30.715942,   49.782410
29412.000000,   30.181732,   49.782410
29505.000000,   30.409698,   49.777832
29612.000000,   30.883484,   49.790039
29706.000000,   31.295471,   49.785461
29837.000000,   30.608826,   49.777832
29911.000000,   30.791473,   49.782410
30012.000000,   30.166626,   3.323975
30105.000000,   31.325684,   -0.182495
30212.000000,   30.821686,   -0.049744
30314.000000,   30.883484,   -0.042114
30435.000000,   30.578613,   -0.011597
30512.000000,   31.158142,   -0.019226
30627.000000,   30.654144,   -0.008545
30711.000000,   30.531921,   -0.026855
30812.000000,   30.990601,   -0.026855
30923.000000,   30.119934,   -0.023804
31012.000000,   31.325684,   -0.011597
31112.000000,   30.059509,   -0.023804
31211.000000,   31.143036,   -0.023804
