File_Record_0005.rec ( 40391 Echant/voies ) Période acquisition :10ms
Date :6/16/2023 4:08:55 PM Fmax 0.7 Hz
t	y	u	
1820.000000	2.5833e+001	-1.1348e-002	
1830.000000	2.5513e+001	-7.5652e-003	
1840.000000	2.5543e+001	-1.8913e-002	
1850.000000	2.5803e+001	-1.5130e-002	
1860.000000	2.5589e+001	-1.8913e-002	
1870.000000	2.5650e+001	-1.8913e-002	
1880.000000	2.5696e+001	-1.8913e-002	
1890.000000	2.5787e+001	-1.5130e-002	
1900.000000	2.5284e+001	-2.2695e-002	
1910.000000	2.5742e+001	-7.5652e-003	
1920.000000	2.5482e+001	-2.2695e-002	
1930.000000	2.5421e+001	-1.5130e-002	
1940.000000	2.5024e+001	-2.2695e-002	
1950.000000	2.5787e+001	-1.8913e-002	
1960.000000	2.5131e+001	-1.8913e-002	
1970.000000	2.5345e+001	-2.2695e-002	
1980.000000	2.5116e+001	-2.2695e-002	
1990.000000	2.5452e+001	-2.2695e-002	
2000.000000	2.5024e+001	-2.2695e-002	
2010.000000	2.5208e+001	-1.8913e-002	
2020.000000	2.4994e+001	-1.1348e-002	
2030.000000	2.5208e+001	-1.5130e-002	
2040.000000	2.5116e+001	-1.5130e-002	
2050.000000	2.5070e+001	-2.2695e-002	
2060.000000	2.5192e+001	-1.5130e-002	
2070.000000	2.5192e+001	-2.6478e-002	
2080.000000	2.5040e+001	-2.2695e-002	
2090.000000	2.5070e+001	-2.6478e-002	
2100.000000	2.5543e+001	-1.1348e-002	
2110.000000	2.4933e+001	-1.8913e-002	
2120.000000	2.5253e+001	-1.5130e-002	
2130.000000	2.5299e+001	-1.8913e-002	
2140.000000	2.5558e+001	-1.1348e-002	
2150.000000	2.4979e+001	-2.6478e-002	
2160.000000	2.5574e+001	-1.5130e-002	
2170.000000	2.5375e+001	-1.1348e-002	
2180.000000	2.5742e+001	-1.8913e-002	
2190.000000	2.5360e+001	-1.1348e-002	
2200.000000	2.5620e+001	-1.5130e-002	
2210.000000	2.5574e+001	-1.8913e-002	
2220.000000	2.5864e+001	-1.8913e-002	
2230.000000	2.5406e+001	-1.1348e-002	
2240.000000	2.5696e+001	-7.5652e-003	
2250.000000	2.5757e+001	-2.6478e-002	
2260.000000	2.5528e+001	-1.1348e-002	
2270.000000	2.5726e+001	-1.8913e-002	
2280.000000	2.5848e+001	-3.0261e-002	
2290.000000	2.5620e+001	-1.1348e-002	
2300.000000	2.5192e+001	-2.2695e-002	
2310.000000	2.7100e+001	-1.5130e-002	
2320.000000	2.5467e+001	-7.5652e-003	
2330.000000	2.5406e+001	-1.5130e-002	
2340.000000	2.5146e+001	-1.8913e-002	
2350.000000	2.5726e+001	-1.5130e-002	
2360.000000	2.5223e+001	-1.8913e-002	
2370.000000	2.5345e+001	-1.8913e-002	
2380.000000	2.4979e+001	-1.8913e-002	
2390.000000	2.5330e+001	-2.6478e-002	
2400.000000	2.5146e+001	-1.5130e-002	
2410.000000	2.5177e+001	-1.1348e-002	
2420.000000	2.5040e+001	-1.8913e-002	
2430.000000	2.5269e+001	-1.8913e-002	
2440.000000	2.4948e+001	-3.7826e-003	
2450.000000	2.4918e+001	-1.8913e-002	
2460.000000	2.5482e+001	-1.8913e-002	
2470.000000	2.4933e+001	-2.2695e-002	
2480.000000	2.4948e+001	-2.2695e-002	
2490.000000	2.5146e+001	-1.5130e-002	
2500.000000	2.5497e+001	-2.6478e-002	
2510.000000	2.4796e+001	-1.8913e-002	
2520.000000	2.5421e+001	-1.1348e-002	
2530.000000	2.5421e+001	-1.5130e-002	
2540.000000	2.5726e+001	-1.5130e-002	
2550.000000	2.5192e+001	-1.1348e-002	
2560.000000	2.5757e+001	-1.8913e-002	
2570.000000	2.5467e+001	-1.1348e-002	
2580.000000	2.5848e+001	-1.5130e-002	
2590.000000	2.5452e+001	-1.8913e-002	
2600.000000	2.5726e+001	-2.2695e-002	
2610.000000	2.5757e+001	-1.8913e-002	
2620.000000	2.5681e+001	-1.8913e-002	
2630.000000	2.5620e+001	-1.1348e-002	
2640.000000	2.5787e+001	-1.8913e-002	
2650.000000	2.5787e+001	-1.1348e-002	
2660.000000	2.5208e+001	-1.8913e-002	
2670.000000	2.5909e+001	-1.5130e-002	
2680.000000	2.5650e+001	-2.2695e-002	
2690.000000	2.5513e+001	-1.1348e-002	
2700.000000	2.5146e+001	-1.1348e-002	
2710.000000	2.5940e+001	-1.8913e-002	
2720.000000	2.5284e+001	-1.5130e-002	
2730.000000	2.5452e+001	-1.1348e-002	
2740.000000	2.5055e+001	-2.6478e-002	
2750.000000	2.5558e+001	-1.1348e-002	
2760.000000	2.5101e+001	-2.2695e-002	
2770.000000	2.5299e+001	-1.5130e-002	
2780.000000	2.4887e+001	-2.2695e-002	
2790.000000	2.5208e+001	-1.5130e-002	
2800.000000	2.5085e+001	-1.5130e-002	
2810.000000	2.5070e+001	-1.8913e-002	
2820.000000	2.5238e+001	-1.8913e-002	
2830.000000	2.5101e+001	-1.8913e-002	
2840.000000	2.5116e+001	-1.8913e-002	
2850.000000	2.5085e+001	-1.5130e-002	
2860.000000	2.5482e+001	-1.5130e-002	
2870.000000	2.4857e+001	-1.1348e-002	
2880.000000	2.5253e+001	-2.2695e-002	
2890.000000	2.5269e+001	-1.5130e-002	
2900.000000	2.5528e+001	-1.5130e-002	
2910.000000	2.4918e+001	-2.2695e-002	
2920.000000	2.5558e+001	-1.5130e-002	
2930.000000	2.5421e+001	-1.1348e-002	
2940.000000	2.5803e+001	-1.5130e-002	
2950.000000	2.5360e+001	-1.8913e-002	
2960.000000	2.5604e+001	-1.1348e-002	
2970.000000	2.5543e+001	-1.5130e-002	
2980.000000	2.5848e+001	-1.8913e-002	
2990.000000	2.5391e+001	-1.8913e-002	
3000.000000	2.5604e+001	-1.1348e-002	
3010.000000	2.5894e+001	-7.5652e-003	
3020.000000	2.5497e+001	-1.8913e-002	
3030.000000	2.5665e+001	-1.8913e-002	
3040.000000	2.5558e+001	-2.2695e-002	
3050.000000	2.5604e+001	-1.5130e-002	
3060.000000	2.5085e+001	-2.2695e-002	
3070.000000	2.5787e+001	-2.2695e-002	
3080.000000	2.5421e+001	-1.5130e-002	
3090.000000	2.5406e+001	-1.5130e-002	
3100.000000	2.5024e+001	-1.8913e-002	
3110.000000	2.5681e+001	-1.8913e-002	
3120.000000	2.5055e+001	-1.5130e-002	
3130.000000	2.5177e+001	-1.1348e-002	
3140.000000	2.5009e+001	-7.5652e-003	
3150.000000	2.5406e+001	-1.5130e-002	
3160.000000	2.5146e+001	-2.2695e-002	
3170.000000	2.5055e+001	-1.1348e-002	
3180.000000	2.5009e+001	-1.8913e-002	
3190.000000	2.5085e+001	-2.2695e-002	
3200.000000	2.5223e+001	-1.1348e-002	
3210.000000	2.4765e+001	-1.1348e-002	
3220.000000	2.5513e+001	-7.5652e-003	
3230.000000	2.5085e+001	-1.5130e-002	
3240.000000	2.5238e+001	-1.5130e-002	
3250.000000	2.5070e+001	-1.5130e-002	
3260.000000	2.5726e+001	-7.5652e-003	
3270.000000	2.5085e+001	-1.8913e-002	
3280.000000	2.5452e+001	-1.5130e-002	
3290.000000	2.5513e+001	-2.2695e-002	
3300.000000	2.5848e+001	-7.5652e-003	
3310.000000	2.5146e+001	-1.1348e-002	
3320.000000	2.5757e+001	-1.8913e-002	
3330.000000	2.5650e+001	-7.5652e-003	
3340.000000	2.5787e+001	-1.8913e-002	
3350.000000	2.5589e+001	-1.5130e-002	
3360.000000	2.5543e+001	-1.5130e-002	
3370.000000	2.5803e+001	-1.1348e-002	
3380.000000	2.5726e+001	-1.5130e-002	
3390.000000	2.5787e+001	-1.1348e-002	
3400.000000	2.5238e+001	-1.8913e-002	
3410.000000	2.5879e+001	-2.2695e-002	
3420.000000	2.5146e+001	-1.8913e-002	
3430.000000	2.5513e+001	-1.8913e-002	
3440.000000	2.5360e+001	-2.2695e-002	
3450.000000	2.5360e+001	-2.6478e-002	
3460.000000	2.4902e+001	-1.5130e-002	
3470.000000	2.5513e+001	-1.1348e-002	
3480.000000	2.5238e+001	-3.7826e-003	
3490.000000	2.5009e+001	-1.8913e-002	
3500.000000	2.4979e+001	-1.8913e-002	
3510.000000	2.5513e+001	-2.2695e-002	
3520.000000	2.5131e+001	-1.8913e-002	
3530.000000	2.4872e+001	-1.1348e-002	
3540.000000	2.5055e+001	-1.8913e-002	
3550.000000	2.5024e+001	-3.0261e-002	
3560.000000	2.5406e+001	-7.5652e-003	
3570.000000	2.4994e+001	-2.2695e-002	
3580.000000	2.5391e+001	-1.1348e-002	
3590.000000	2.5131e+001	-1.5130e-002	
3600.000000	2.5543e+001	-1.5130e-002	
3610.000000	2.5101e+001	-2.2695e-002	
3620.000000	2.5787e+001	-1.1348e-002	
3630.000000	2.5421e+001	-1.1348e-002	
3640.000000	2.5620e+001	-1.5130e-002	
3650.000000	2.5589e+001	-1.8913e-002	
3660.000000	2.5986e+001	-1.8913e-002	
3670.000000	2.5421e+001	-1.5130e-002	
3680.000000	2.5543e+001	-7.5652e-003	
3690.000000	2.6001e+001	-1.8913e-002	
3700.000000	2.5681e+001	-1.8913e-002	
3710.000000	2.5497e+001	-2.2695e-002	
3720.000000	2.5375e+001	-2.2695e-002	
3730.000000	2.5848e+001	-1.8913e-002	
3740.000000	2.5360e+001	-2.6478e-002	
3750.000000	2.5711e+001	-1.1348e-002	
3760.000000	2.5116e+001	-1.8913e-002	
3770.000000	2.5681e+001	-2.6478e-002	
3780.000000	2.5192e+001	-1.1348e-002	
3790.000000	2.5436e+001	-1.1348e-002	
3800.000000	2.5040e+001	-2.2695e-002	
3810.000000	2.5482e+001	-1.8913e-002	
3820.000000	2.4811e+001	-1.8913e-002	
3830.000000	2.5162e+001	-2.6478e-002	
3840.000000	2.5299e+001	-2.2695e-002	
3850.000000	2.5101e+001	-2.2695e-002	
3860.000000	2.4872e+001	-1.1348e-002	
3870.000000	2.5208e+001	-2.2695e-002	
3880.000000	2.5375e+001	-1.1348e-002	
3890.000000	2.4796e+001	-1.5130e-002	
3900.000000	2.5253e+001	-1.1348e-002	
3910.000000	2.5192e+001	-1.5130e-002	
