t,y,u
77112,35.400391,-0.015869
77213,34.912109,-0.03418
77312,34.393311,-0.019531
77411,34.682617,-0.023193
77533,34.973145,-0.026855
77614,35.064697,-0.023193
77712,34.973145,-0.023193
77814,34.759521,-0.026855
77913,34.545898,-0.023193
78013,34.560547,-0.019531
78112,34.912109,-0.026855
78213,35.186768,-0.026855
78311,34.606934,-0.026855
78413,34.133301,-0.023193
78512,34.499512,-0.015869
78611,34.973145,-0.023193
78733,35.079346,-0.023193
78815,34.362793,-0.023193
78913,34.194336,-0.03418
79013,34.973145,-0.026855
79110,35.018311,-0.030518
79212,34.729004,-0.019531
79312,34.346924,-0.023193
79413,34.179687,-0.023193
79512,34.407959,-0.026855
79613,34.576416,-0.023193
79707,34.637451,-0.015869
79812,34.713135,-0.026855
79912,34.591064,-0.030518
80013,34.316406,59.744873
80111,34.438477,59.733887
80213,34.743652,59.741211
80312,33.843994,59.730225
80413,34.6521,59.741211
80512,34.133301,59.748535
80613,34.606934,59.730225
80712,33.919678,59.733887
80813,34.790039,59.733887
80912,33.996582,59.726562
81013,34.667969,59.730225
81112,34.102783,59.744873
81213,34.041748,59.737549
81318,34.973145,59.733887
81418,34.057617,59.733887
81511,34.957275,59.733887
81614,34.285889,59.733887
81712,34.743652,59.748535
81812,34.713135,59.737549
81930,35.125732,59.730225
82033,34.0271,59.737549
82133,34.163818,59.730225
82230,34.468994,59.733887
82313,35.339355,59.730225
82413,34.912109,59.733887
82515,35.522461,59.733887
82613,34.576416,59.741211
82712,35.095215,59.733887
82814,35.095215,59.744873
82934,35.109863,59.733887
83033,34.987793,59.744873
83132,34.926758,59.733887
83233,35.506592,59.730225
83312,34.804687,59.726562
83413,35.583496,59.737549
83508,35.262451,59.730225
83621,35.628662,59.737549
83713,35.03418,59.733887
83814,35.506592,59.730225
83913,35.583496,59.737549
84013,35.583496,59.733887
84112,35.506592,59.733887
84212,35.583496,59.730225
84312,35.78125,59.741211
84413,35.689697,59.737549
84513,35.888672,59.733887
84613,35.461426,59.737549
84713,35.217285,59.733887
84826,35.675049,59.730225
84912,36.116943,59.733887
85013,35.689697,59.7229
85112,36.574707,59.730225
85213,35.430908,59.730225
85312,36.590576,59.744873
85413,35.78125,59.730225
85512,36.757812,59.741211
85613,35.736084,59.737549
85712,36.544189,59.730225
85813,36.254883,59.730225
85915,36.513672,59.726562
86013,35.980225,59.741211
86111,36.849365,59.733887
86213,36.376953,59.726562
86312,36.834717,59.730225
86413,36.391602,59.733887
86512,36.971436,59.741211
86613,36.468506,59.726562
86712,36.834717,59.730225
86813,36.865234,59.726562
86912,36.971436,59.726562
87013,36.66626,59.726562
87107,36.895752,59.741211
87213,36.682129,59.726562
87306,36.895752,59.733887
87412,37.04834,59.744873
87512,37.04834,59.741211
87613,37.231445,59.741211
87712,36.621094,59.737549
87823,37.947998,59.726562
87921,37.567139,59.741211
88019,37.032471,59.737549
88117,37.506104,59.726562
88218,37.109375,59.726562
88317,37.29248,59.730225
88413,37.185059,59.733887
88506,37.703857,59.737549
88630,37.612305,59.726562
88729,37.276611,59.741211
88828,37.79541,59.733887
88926,37.384033,59.730225
89026,37.567139,59.741211
89125,38.009033,59.741211
89223,37.475586,59.733887
89312,37.642822,59.741211
89412,37.902832,59.726562
89508,37.780762,59.7229
89613,38.039551,59.733887
89712,37.581787,59.737549
89830,37.79541,59.737549
89929,37.719727,59.733887
90013,38.330078,59.737549
90113,37.91748,59.741211
90213,38.222656,59.741211
90312,38.024902,59.744873
90413,38.466797,59.741211
90508,38.085937,59.733887
90614,38.253174,59.741211
90713,38.466797,59.733887
90813,37.750244,59.733887
90933,38.391113,59.726562
91013,38.452148,59.733887
91112,38.848877,59.737549
91213,37.963867,59.733887
91312,39.077148,59.733887
91412,38.482666,59.7229
91512,38.269043,59.726562
91607,38.55835,59.730225
91712,38.710937,59.741211
91812,38.894043,59.741211
91918,38.330078,59.744873
92013,39.199219,59.730225
92141,38.527832,59.730225
92213,39.077148,59.726562
92311,38.696289,59.730225
92413,38.924561,59.737549
92512,39.016113,59.741211
92612,38.710937,59.737549
92712,39.428711,59.737549
92813,38.543701,59.733887
92918,39.520264,59.744873
93013,39.306641,59.730225
93112,38.665771,59.7229
93213,39.56543,59.737549
93312,38.894043,59.733887
93412,39.672852,59.741211
93512,39.18457,59.741211
93613,39.093018,59.741211
93712,39.748535,59.737549
93813,38.94043,59.741211
93923,39.245605,59.726562
94020,39.825439,59.726562
94118,39.351807,59.733887
94216,39.886475,59.733887
94310,39.168701,59.733887
94414,39.916992,59.726562
94512,39.245605,59.726562
94613,39.672852,59.730225
94728,39.520264,59.741211
94828,39.779053,59.737549
94924,39.489746,59.730225
95026,39.962158,59.730225
95122,40.023193,59.737549
95224,39.412842,59.733887
95311,40.084229,59.737549
95414,39.962158,59.741211
95511,39.779053,59.726562
95612,40.206299,59.737549
95711,39.626465,59.726562
95813,39.337158,59.726562
95934,40.100098,59.730225
96016,40.405273,59.733887
96113,39.840088,59.733887
96214,40.450439,59.737549
96313,40.100098,59.741211
96413,40.145264,59.730225
96513,40.603027,59.730225
96612,40.374756,59.737549
96708,40.480957,59.741211
96812,40.175781,59.741211
96912,40.19165,59.744873
97034,40.145264,59.7229
