File_Record_0001.rec ( 60606 Echant/voies ) Période acquisition :10ms
Date :6/16/2023 2:21:29 PM Fmax 1 Hz
t	y	u	
2210.000000	2.3242e+001	-9.6154e-003	
2220.000000	2.2903e+001	-1.1538e-002	
2230.000000	2.3715e+001	-9.6154e-003	
2240.000000	2.3978e+001	-1.1538e-002	
2250.000000	2.3239e+001	-9.6154e-003	
2260.000000	2.3151e+001	-5.7692e-003	
2270.000000	2.3349e+001	-5.7692e-003	
2280.000000	2.3251e+001	-1.3462e-002	
2290.000000	2.3523e+001	-7.6923e-003	
2300.000000	2.3703e+001	-1.7308e-002	
2310.000000	2.3203e+001	-9.6154e-003	
2320.000000	2.3267e+001	-1.1538e-002	
2330.000000	2.4014e+001	-1.1538e-002	
2340.000000	2.3083e+001	-7.6923e-003	
2350.000000	2.3798e+001	-7.6923e-003	
2360.000000	2.3871e+001	-9.6154e-003	
2370.000000	2.2870e+001	-7.6923e-003	
2380.000000	2.3105e+001	-9.6154e-003	
2390.000000	2.3523e+001	-9.6154e-003	
2400.000000	2.3230e+001	-9.6154e-003	
2410.000000	2.3401e+001	-9.6154e-003	
2420.000000	2.3624e+001	-9.6154e-003	
2430.000000	2.3114e+001	-7.6923e-003	
2440.000000	2.2699e+001	-1.1538e-002	
2450.000000	2.3602e+001	-9.6154e-003	
2460.000000	2.3718e+001	-3.8462e-003	
2470.000000	2.3117e+001	-9.6154e-003	
2480.000000	2.3392e+001	-1.1538e-002	
2490.000000	2.3251e+001	-9.6154e-003	
2500.000000	2.3080e+001	-7.6923e-003	
2510.000000	2.3514e+001	-9.6154e-003	
2520.000000	2.3605e+001	-7.6923e-003	
2530.000000	2.3303e+001	-5.7692e-003	
2540.000000	2.3419e+001	-7.6923e-003	
2550.000000	2.3163e+001	-1.3462e-002	
2560.000000	2.3071e+001	-1.3462e-002	
2570.000000	2.3755e+001	-1.3462e-002	
2580.000000	2.3660e+001	-1.1538e-002	
2590.000000	2.2968e+001	-5.7692e-003	
2600.000000	2.3337e+001	-5.7692e-003	
2610.000000	2.3456e+001	-1.1538e-002	
2620.000000	2.2974e+001	-9.6154e-003	
2630.000000	2.3560e+001	-1.1538e-002	
2640.000000	2.3862e+001	-1.1538e-002	
2650.000000	2.2913e+001	-1.1538e-002	
2660.000000	2.2931e+001	-9.6154e-003	
2670.000000	2.3624e+001	-1.3462e-002	
2680.000000	2.3456e+001	-9.6154e-003	
2690.000000	2.3291e+001	-9.6154e-003	
2700.000000	2.3447e+001	-1.1538e-002	
2710.000000	2.3248e+001	-1.3462e-002	
2720.000000	2.3065e+001	-1.1538e-002	
2730.000000	2.3514e+001	-9.6154e-003	
2740.000000	2.3434e+001	-9.6154e-003	
2750.000000	2.3462e+001	-9.6154e-003	
2760.000000	2.3462e+001	-7.6923e-003	
2770.000000	2.3010e+001	-1.1538e-002	
2780.000000	2.3065e+001	-9.6154e-003	
2790.000000	2.3810e+001	-1.1538e-002	
2800.000000	2.4118e+001	2.5533e+001	
2810.000000	2.2903e+001	3.4856e+001	
2820.000000	2.3260e+001	3.4875e+001	
2830.000000	2.3248e+001	3.4869e+001	
2840.000000	2.3221e+001	3.4871e+001	
2850.000000	2.3651e+001	3.4877e+001	
2860.000000	2.3615e+001	3.4873e+001	
2870.000000	2.3083e+001	3.4881e+001	
2880.000000	2.3428e+001	3.4875e+001	
2890.000000	2.3749e+001	3.4875e+001	
2900.000000	2.3666e+001	3.4881e+001	
2910.000000	2.3187e+001	3.4871e+001	
2920.000000	2.2940e+001	3.4873e+001	
2930.000000	2.3630e+001	3.4871e+001	
2940.000000	2.3602e+001	3.4873e+001	
2950.000000	2.3474e+001	3.4871e+001	
2960.000000	2.3300e+001	3.4877e+001	
2970.000000	2.3206e+001	3.4881e+001	
2980.000000	2.3322e+001	3.4875e+001	
2990.000000	2.3401e+001	3.4873e+001	
3000.000000	2.3593e+001	3.4873e+001	
3010.000000	2.2885e+001	3.4873e+001	
3020.000000	2.2833e+001	3.4875e+001	
3030.000000	2.3737e+001	3.4873e+001	
3040.000000	2.3950e+001	3.4875e+001	
3050.000000	2.2919e+001	3.4871e+001	
3060.000000	2.3126e+001	3.4867e+001	
3070.000000	2.3621e+001	3.4879e+001	
3080.000000	2.3544e+001	3.4875e+001	
3090.000000	2.3215e+001	3.4871e+001	
3100.000000	2.3495e+001	3.4879e+001	
3110.000000	2.3196e+001	3.4871e+001	
3120.000000	2.2763e+001	3.4875e+001	
3130.000000	2.4011e+001	3.4875e+001	
3140.000000	2.3843e+001	3.4873e+001	
3150.000000	2.2833e+001	3.4871e+001	
3160.000000	2.2894e+001	3.4881e+001	
3170.000000	2.3700e+001	3.4871e+001	
3180.000000	2.3373e+001	3.4875e+001	
3190.000000	2.3108e+001	3.4875e+001	
3200.000000	2.3444e+001	3.4879e+001	
3210.000000	2.3181e+001	3.4873e+001	
3220.000000	2.3224e+001	3.4873e+001	
3230.000000	2.3721e+001	3.4873e+001	
3240.000000	2.3572e+001	3.4875e+001	
3250.000000	2.2852e+001	3.4873e+001	
3260.000000	2.3187e+001	3.4875e+001	
3270.000000	2.3770e+001	3.4873e+001	
3280.000000	2.3651e+001	3.4879e+001	
3290.000000	2.3221e+001	3.4869e+001	
3300.000000	2.3132e+001	3.4873e+001	
3310.000000	2.3602e+001	3.4875e+001	
3320.000000	2.3611e+001	3.4871e+001	
3330.000000	2.3486e+001	3.4873e+001	
3340.000000	2.3221e+001	3.4873e+001	
3350.000000	2.3248e+001	3.4873e+001	
3360.000000	2.3154e+001	3.4877e+001	
3370.000000	2.3425e+001	3.4875e+001	
3380.000000	2.3569e+001	3.4871e+001	
3390.000000	2.3203e+001	3.4875e+001	
3400.000000	2.2922e+001	3.4871e+001	
3410.000000	2.3584e+001	3.4877e+001	
3420.000000	2.3895e+001	3.4879e+001	
3430.000000	2.3019e+001	3.4873e+001	
3440.000000	2.3212e+001	3.4877e+001	
3450.000000	2.3486e+001	3.4875e+001	
3460.000000	2.3328e+001	3.4873e+001	
3470.000000	2.3621e+001	3.4871e+001	
3480.000000	2.3798e+001	3.4873e+001	
3490.000000	2.3203e+001	3.4867e+001	
3500.000000	2.2968e+001	3.4877e+001	
3510.000000	2.3932e+001	3.4875e+001	
3520.000000	2.3749e+001	3.4879e+001	
3530.000000	2.2751e+001	3.4875e+001	
3540.000000	2.2995e+001	3.4873e+001	
3550.000000	2.3541e+001	3.4873e+001	
3560.000000	2.3224e+001	3.4873e+001	
3570.000000	2.3367e+001	3.4877e+001	
3580.000000	2.3709e+001	3.4869e+001	
3590.000000	2.2937e+001	3.4873e+001	
3600.000000	2.3065e+001	3.4873e+001	
3610.000000	2.3764e+001	3.4873e+001	
3620.000000	2.3773e+001	3.4873e+001	
3630.000000	2.2842e+001	3.4869e+001	
3640.000000	2.3114e+001	3.4875e+001	
3650.000000	2.3630e+001	3.4875e+001	
3660.000000	2.3514e+001	3.4871e+001	
3670.000000	2.3453e+001	3.4869e+001	
3680.000000	2.3642e+001	3.4871e+001	
3690.000000	2.3145e+001	3.4873e+001	
3700.000000	2.3312e+001	3.4875e+001	
3710.000000	2.3749e+001	3.4873e+001	
3720.000000	2.3337e+001	3.4873e+001	
3730.000000	2.3111e+001	3.4875e+001	
3740.000000	2.3004e+001	3.4873e+001	
3750.000000	2.3639e+001	3.4877e+001	
3760.000000	2.3703e+001	3.4875e+001	
3770.000000	2.3010e+001	3.4875e+001	
3780.000000	2.3074e+001	3.4873e+001	
3790.000000	2.3349e+001	3.4875e+001	
3800.000000	2.3480e+001	3.4873e+001	
3810.000000	2.3331e+001	3.4871e+001	
3820.000000	2.3386e+001	3.4873e+001	
3830.000000	2.3322e+001	3.4877e+001	
3840.000000	2.3233e+001	3.4869e+001	
3850.000000	2.3727e+001	3.4877e+001	
3860.000000	2.3926e+001	3.4871e+001	
3870.000000	2.2992e+001	3.4875e+001	
3880.000000	2.2885e+001	3.4877e+001	
3890.000000	2.3737e+001	3.4877e+001	
3900.000000	2.3480e+001	3.4873e+001	
3910.000000	2.3248e+001	3.4873e+001	
3920.000000	2.3355e+001	3.4875e+001	
3930.000000	2.3248e+001	3.4873e+001	
3940.000000	2.3013e+001	3.4873e+001	
3950.000000	2.3615e+001	3.4873e+001	
3960.000000	2.3926e+001	3.4873e+001	
3970.000000	2.2720e+001	3.4873e+001	
3980.000000	2.2845e+001	3.4873e+001	
3990.000000	2.3889e+001	3.4871e+001	
4000.000000	2.3633e+001	3.4875e+001	
4010.000000	2.3233e+001	3.4871e+001	
4020.000000	2.3502e+001	3.4871e+001	
4030.000000	2.3358e+001	3.4881e+001	
4040.000000	2.3340e+001	3.4871e+001	
4050.000000	2.3697e+001	3.4877e+001	
4060.000000	2.3569e+001	3.4873e+001	
4070.000000	2.2897e+001	3.4875e+001	
4080.000000	2.2861e+001	3.4877e+001	
4090.000000	2.3880e+001	3.4877e+001	
4100.000000	2.3550e+001	3.4873e+001	
4110.000000	2.3141e+001	3.4871e+001	
4120.000000	2.3267e+001	3.4875e+001	
4130.000000	2.3141e+001	3.4873e+001	
4140.000000	2.3279e+001	3.4871e+001	
4150.000000	2.3428e+001	3.4873e+001	
4160.000000	2.3471e+001	3.4869e+001	
4170.000000	2.3187e+001	3.4869e+001	
4180.000000	2.3267e+001	3.4873e+001	
4190.000000	2.3926e+001	3.4877e+001	
4200.000000	2.3792e+001	3.4871e+001	
4210.000000	2.3209e+001	3.4871e+001	
4220.000000	2.3145e+001	3.4873e+001	
4230.000000	2.3523e+001	3.4875e+001	
4240.000000	2.3553e+001	3.4877e+001	
4250.000000	2.3413e+001	3.4873e+001	
4260.000000	2.3135e+001	3.4877e+001	
4270.000000	2.3492e+001	3.4869e+001	
4280.000000	2.3303e+001	3.4871e+001	
4290.000000	2.3349e+001	3.4875e+001	
4300.000000	2.3740e+001	3.4879e+001	
4310.000000	2.3053e+001	3.4875e+001	
4320.000000	2.2867e+001	3.4869e+001	
4330.000000	2.3563e+001	3.4875e+001	
4340.000000	2.3846e+001	3.4873e+001	
4350.000000	2.3169e+001	3.4873e+001	
4360.000000	2.3224e+001	3.4877e+001	
4370.000000	2.3605e+001	3.4867e+001	
4380.000000	2.3599e+001	3.4869e+001	
4390.000000	2.3471e+001	3.4871e+001	
4400.000000	2.3727e+001	3.4877e+001	
4410.000000	2.3102e+001	3.4873e+001	
4420.000000	2.2736e+001	3.4879e+001	
4430.000000	2.3981e+001	3.4871e+001	
4440.000000	2.3874e+001	3.4873e+001	
4450.000000	2.2852e+001	3.4875e+001	
4460.000000	2.3099e+001	3.4877e+001	
4470.000000	2.3721e+001	3.4879e+001	
4480.000000	2.3471e+001	3.4875e+001	
4490.000000	2.3260e+001	3.4869e+001	
4500.000000	2.3587e+001	3.4877e+001	
4510.000000	2.3108e+001	3.4869e+001	
4520.000000	2.3163e+001	3.4877e+001	
4530.000000	2.4121e+001	3.4875e+001	
4540.000000	2.4030e+001	3.4871e+001	
